date,China,EU,India,Japan,Russia,Soviet Union,USA
1960,0,0,0,0,0,1,0
1961,0,0,0,0,0,1,0
1962,0,0,0,0,0,2,1
1963,0,0,0,0,0,1,0
1964,0,0,0,0,0,2,1
1965,0,0,0,0,0,1,0
1967,0,0,0,0,0,2,1
1969,0,0,0,0,0,2,1
1970,0,0,0,0,0,1,0
1971,0,0,0,0,0,1,1
1972,0,0,0,0,0,1,1
1973,0,0,0,0,0,1,3
1974,0,0,0,0,0,0,2
1975,0,0,0,0,0,1,1
1977,0,0,0,0,0,0,1
1978,0,0,0,0,0,1,1
1979,0,0,0,0,0,0,2
1980,0,0,0,0,0,0,1
1981,0,0,0,0,0,1,1
1982,0,0,0,0,0,1,0
1983,0,0,0,0,0,1,0
1984,0,1,0,0,0,1,1
1985,0,0,0,2,0,2,1
1986,0,1,0,0,0,0,1
1988,0,0,0,0,0,1,0
1989,0,0,0,0,0,0,2
1990,0,1,0,0,0,0,1
1991,0,0,0,0,0,0,1
1992,0,0,0,0,0,0,1
1993,0,0,0,0,0,0,1
1996,0,0,0,0,1,0,2
1997,0,0,0,0,0,0,1
1998,0,0,0,1,0,0,3
1999,0,0,0,0,0,0,3
2000,0,0,0,0,0,0,1
2001,0,0,0,0,0,0,2
2002,0,0,0,0,0,0,2
2003,0,1,0,1,0,0,2
2004,0,1,0,0,0,0,3
2005,0,1,0,2,0,0,3
2006,0,0,0,0,0,0,4
2007,0,1,0,0,0,0,2
2008,0,1,0,0,0,0,0
2009,0,0,0,0,0,0,1
2010,1,1,0,1,0,0,0
2011,1,0,0,0,1,0,3
2013,0,0,1,0,0,0,1
2014,0,0,0,1,0,0,0
2015,0,0,0,1,0,0,1
2016,0,1,0,0,0,0,1
2019,0,0,0,0,0,0,1
